,time,T18,T19,T20,T21
292,49792,23.1249,22.8438,14.2528,22.6792
293,49793,23.1251,22.8438,14.2203,22.7071
294,49794,23.1268,22.8179,14.1831,22.7305
295,49797,23.0923,22.6306,14.0587,22.5625
296,49800,23.0837,22.4942,13.9217,22.6371
297,49801,23.0682,22.4688,13.8884,22.5865
298,49802,23.0663,22.4435,13.8452,22.6128
299,49803,23.0547,22.4375,13.7969,22.6061
300,49804,23.0484,22.4062,13.7533,22.625
301,49805,23.0288,22.3812,13.6881,22.625
302,49806,23.016,22.3499,13.6597,22.6062
303,49807,23.0131,22.2312,13.6132,22.625
304,49808,22.9853,22.0817,13.5595,22.625
305,49809,22.9721,22.0561,13.5199,22.6875
306,49810,22.9591,22.0312,13.4893,22.7188
307,49811,22.9369,22.0132,13.4451,22.6819
308,49812,22.9176,21.9193,13.3979,22.6875
309,49813,22.8789,21.8636,13.3371,22.7188
310,49814,22.8784,21.8193,13.3043,22.7188
311,49815,22.8501,21.7255,13.2516,22.7188
312,49816,22.8284,21.6698,13.2015,22.6822
313,49817,22.8067,21.6181,13.1429,22.6431
314,49818,22.7849,21.5694,13.0992,22.5938
315,49819,22.767,21.5625,13.0638,22.6875
316,49820,22.7713,21.4588,13.0183,22.7054
317,49821,22.7365,21.4133,12.9768,22.7188
318,49822,22.7026,21.375,12.9335,22.75
319,49823,22.6846,21.3438,12.8898,22.75
320,49826,22.6326,21.4538,12.7461,22.7363
321,49827,22.6212,21.5,12.7043,22.7987
322,49828,22.6062,21.5075,12.6524,22.8438
323,49829,22.5934,21.5236,12.62,22.8125
324,49830,22.5805,21.5,12.5784,22.7952
325,49833,22.5299,21.5078,12.4369,22.753
326,49834,22.5102,21.4454,12.3902,22.7672
327,49835,22.4818,21.4375,12.3338,22.7812
328,49836,22.471,21.4143,12.2942,22.767
329,49837,22.4581,21.383000000000003,12.2489,22.7812
330,49838,22.4403,21.3207,12.192,22.8148
331,49839,22.3951,21.25,12.1288,22.8438
332,49840,22.3753,21.2188,12.0704,22.8269
333,49841,22.3687,21.2728,12.0266,22.7812
334,49842,22.3551,21.25,11.9762,22.7481
335,49843,22.320999999999998,21.1731,11.9178,22.752
336,49844,22.2967,21.125,11.8565,22.7812
337,49845,22.2811,21.0938,11.8101,22.7961
338,49846,22.2553,21.0938,11.7561,22.7336
339,49847,22.226999999999997,21.1025,11.6781,22.7188
340,49850,22.1814,21.1473,11.4603,22.7652
341,49851,22.1618,21.2188,11.4072,22.6715
342,49852,22.1501,21.1785,11.3372,22.7339
343,49853,22.1376,21.1875,11.2677,22.7817
344,49854,22.1158,21.2188,11.1873,22.7655
345,49855,22.09,21.1342,11.1047,22.75
346,49856,22.0934,21.125,11.0474,22.7031
347,49857,22.064,21.125,10.9803,22.7343
348,49858,22.057,21.125,10.921,22.7501
349,49859,22.0371,21.0938,10.8253,22.75
350,49860,22.0285,21.1562,10.7682,22.8125
351,49861,22.0004,21.1779,10.6645,22.8438
352,49862,21.9985,21.1972,10.6142,22.8438
353,49863,21.9867,21.1778,10.5456,22.8285
354,49864,21.9695,21.1875,10.4759,22.8438
355,49865,21.9522,21.1776,10.389000000000001,22.8438
356,49866,21.9439,21.1562,10.3087,22.7975
357,49867,21.9412,21.1775,10.2513,22.7963
358,49868,21.9221,21.2086,10.1604,22.7976
359,49869,21.9025,21.2188,10.1012,22.7351
360,49870,21.8938,21.1977,10.0361,22.6875
361,49871,21.8866,21.1665,9.97868,22.671
362,49872,21.8672,21.0728,9.887780000000001,22.6562
363,49873,21.85,21.0625,9.82225,22.7188
364,49874,21.8414,21.1145,9.74163,22.701999999999998
365,49875,21.8475,21.2083,9.68242,22.6875
366,49876,21.8218,21.25,9.59789,22.6417
367,49877,21.8194,21.2812,9.541080000000001,22.6562
368,49878,21.8106,21.2294,9.48611,22.6562
369,49879,21.7975,21.25,9.41416,22.5649
370,49880,21.7802,21.2188,9.32515,22.5171
371,49881,21.7845,21.2188,9.27042,22.4829
372,49882,21.7842,21.2282,9.202589999999999,22.483
373,49885,21.7716,21.4889,8.991430000000001,22.486
374,49886,21.7691,21.52,8.910639999999999,22.455
375,49887,21.7667,21.5625,8.84304,22.3888
376,49888,21.7562,21.6337,8.779810000000001,22.3924
377,49889,21.7562,21.6449,8.71043,22.4062
378,49890,21.7559,21.625,8.65753,22.4199
379,49891,21.7457,21.625,8.57753,22.4375
380,49892,21.7562,21.6759,8.50988,22.4688
381,49893,21.7628,21.6562,8.45089,22.4688
382,49894,21.773000000000003,21.6991,8.3786,22.4688
383,49895,21.7756,21.7578,8.30905,22.5
384,49896,21.7694,21.8125,8.226189999999999,22.5
385,49897,21.7801,21.8125,8.16049,22.5
386,49898,21.7862,21.761999999999997,8.084,22.5
387,49899,21.7903,21.7694,8.01411,22.5312
388,49900,21.7864,21.8198,7.931369999999999,22.5443
389,49901,21.7973,21.9062,7.872610000000001,22.5184
390,49902,21.8059,21.9062,7.811780000000001,22.5129
391,49903,21.81,21.8872,7.75245,22.4871
392,49904,21.7869,21.9062,7.65954,22.456
393,49905,21.7955,21.8873,7.609,22.4062
394,49906,21.8066,21.9062,7.55695,22.3935
395,49907,21.8253,21.9437,7.5080100000000005,22.3438
396,49908,21.8107,22.0,7.43025,22.3438
397,49909,21.8215,22.0312,7.382219999999999,22.3625
398,49910,21.8367,21.9814,7.327939999999999,22.3627
399,49911,21.8493,21.9873,7.27935,22.3627
400,49912,21.8539,22.0498,7.22495,22.3873
401,49913,21.8476,22.1305,7.15981,22.4304
402,49914,21.8602,22.1066,7.10301,22.4688
403,49915,21.8473,21.9763,7.04385,22.4375
404,49916,21.8517,21.8881,7.00208,22.4375
405,49917,21.8519,21.875,6.9459,22.4375
406,49918,21.8583,21.875,6.8998800000000005,22.4375
407,49919,21.8671,21.910999999999998,6.852589999999999,22.4688
408,49920,21.8628,21.9688,6.81462,22.5
409,49921,21.851999999999997,22.0,6.76917,22.456999999999997
410,49922,21.8629,21.9375,6.73635,22.4144
411,49923,21.8692,21.9375,6.69727,22.4062
412,49924,21.8757,21.9865,6.67501,22.4259
413,49927,21.8718,21.9863,6.564089999999999,22.3949
414,49928,21.8907,21.9964,6.54223,22.3549
415,49931,21.885,22.0938,6.43572,22.375
416,49932,21.9014,22.1423,6.41525,22.386
417,49933,21.9016,22.1875,6.3720300000000005,22.4062
418,49934,21.9001,22.1704,6.33525,22.4062
419,49935,21.916999999999998,22.1562,6.313269999999999,22.3125
420,49936,21.9257,22.2045,6.28912,22.2908
421,49937,21.9196,22.2018,6.25652,22.2188
422,49938,21.9409,22.1393,6.23064,22.1768
423,49941,21.9351,22.1105,6.15416,22.0208
424,49942,21.9352,22.0625,6.113119999999999,22.0312
425,49943,21.945999999999998,22.0625,6.10205,22.0517
426,49944,21.9648,22.0312,6.08829,22.0938
427,49945,21.9716,22.0955,6.07733,22.1147
428,49946,21.9718,22.1414,6.04725,22.0938
429,49947,21.9849,22.125,6.03417,22.125
430,49948,21.9888,22.0924,6.02517,22.1562
431,49949,22.006,22.0625,6.0118599999999995,22.125
432,49950,21.9873,22.0312,5.9797199999999995,22.1463
433,49951,21.9959,22.0635,5.9793199999999995,22.0724
434,49952,22.0021,22.1097,5.96165,22.0744
435,49953,22.0171,22.0938,5.95935,22.0938
436,49954,22.0025,22.0784,5.92744,22.0625
437,49955,22.0177,22.1096,5.9271,22.034000000000002
438,49956,22.0286,22.1721,5.924980000000001,21.9688
439,49957,22.0372,22.1875,5.90787,21.9062
440,49958,22.0162,22.2188,5.87539,21.9501
